id;gid;code;type;parents;display;higlight;location191681;AIR_191681;undefined;AIRPORT;{"continent":"CON_34398","country":"COU_20013","administrative_division":"ADM_14295","city":"CIT_2"};Aeroporto Arrabury, Arrabury, Austrália;higlight;{"latitude":-26.765537,"longitude":141.02113699999995}
191700;AIR_191700;undefined;AIRPORT;{"continent":"CON_30005","country":"COU_20219","administrative_division":"ADM_177329","city":"CIT_21"};Aeroporto Al Ghaydah, Al Ghaydah, Iêmen;higlight;{"latitude":16.1917,"longitude":52.174999999999955}
33787;CIT_33787;AB3;CITY;{"continent":"CON_30003","country":"COU_20028","administrative_division":"ADM_30537"};Abadiânia, Goiás, Brasil;higlight;{"latitude":-16.1985305,"longitude":-48.705566799999986}
104904;CIT_104904;EGOCP;CITY;{"continent":"CON_30004","country":"COU_20141","administrative_division":"ADM_13371"};Abasolo, Guanajuato, México;higlight;{"latitude":20.45001,"longitude":-101.53}
119811;CIT_119811;JUBXH;CITY;{"continent":"CON_30003","country":"COU_20010","administrative_division":"ADM_14061"};Abasto, Buenos Aires, Argentina;higlight;{"latitude":-34.98515,"longitude":-58.08922}
45;CIT_45;ABW;CITY;{"continent":"CON_34398","country":"COU_20160","administrative_division":"ADM_14315"};Abau, Papua-Nova Guiné;higlight;{"latitude":-10.042557,"longitude":148.56468199999995}
30040;CIT_30040;AB2;CITY;{"continent":"CON_30003","country":"COU_20028","administrative_division":"ADM_10897"};Abaeté, Minas Gerais, Brasil;higlight;{"latitude":-19.15,"longitude":-45.44999999999999}
23;CIT_23;ABA;CITY;{"continent":"CON_30006","country":"COU_20172","administrative_division":"ADM_176381"};Abakan, Respublika Khakasiya, Rússia;higlight;{"latitude":53.74,"longitude":91.38499999999999}
96159;CIT_96159;MZJJP;CITY;{"continent":"CON_30003","country":"COU_20010","administrative_division":"ADM_11817"};El Carrizal de Abajo, Mendoza, Argentina;higlight;{"latitude":-33.32053,"longitude":-68.75636}
190511;CIT_190511;BSRAN;CITY;{"continent":"CON_30003","country":"COU_20028","administrative_division":"ADM_10897"};Sao Gonçalo do Rio Abaixo, Minas Gerais, Brasil;higlight;{"latitude":-19.82611,"longitude":-43.36222}
191701;AIR_191701;undefined;AIRPORT;{"continent":"CON_30006","country":"COU_20172","administrative_division":"ADM_176381","city":"CIT_23"};Aeroporto Abakan, Abakan, Rússia;higlight;{"latitude":53.74,"longitude":91.38499999999999}
191707;AIR_191707;undefined;AIRPORT;{"continent":"CON_34398","country":"COU_20104","administrative_division":"ADM_14301","city":"CIT_28"};Aeroporto Abaiang, Abaiang, Kiribati;higlight;{"latitude":1.79639,"longitude":173.03999999999996}
191724;AIR_191724;undefined;AIRPORT;{"continent":"CON_34398","country":"COU_20160","administrative_division":"ADM_14315","city":"CIT_45"};Aeroporto Abau, Abau, Papua-Nova Guiné;higlight;{"latitude":-10.042557,"longitude":148.56468199999995}
193345;AIR_193345;undefined;AIRPORT;{"continent":"CON_30002","country":"COU_20062","administrative_division":"ADM_174623","city":"CIT_1747"};Aeroporto Aba Tenna D Yilma, Dire Dawa, Etiópia;higlight;{"latitude":9.6247,"longitude":41.85419999999999}
8739;CIT_8739;YXX;CITY;{"continent":"CON_30004","country":"COU_20034","administrative_division":"ADM_14460"};Abbotsford, Canadá;higlight;{"latitude":49.0253,"longitude":-122.36099999999999}
119810;CIT_119810;NKMLS;CITY;{"continent":"CON_30003","country":"COU_20010","administrative_division":"ADM_14061"};Abbott, Buenos Aires, Argentina;higlight;{"latitude":-35.28214,"longitude":-58.80487}
1915;CIT_1915;EAB;CITY;{"continent":"CON_30005","country":"COU_20219","administrative_division":"ADM_14310"};Abbse, Iêmen;higlight;{"latitude":14.4,"longitude":44.950000000000045}
199673;AIR_199673;undefined;AIRPORT;{"continent":"CON_30004","country":"COU_20034","administrative_division":"ADM_14460","city":"CIT_8739"};Aeroporto Abbotsford, Abbotsford, Canadá;higlight;{"latitude":49.0253,"longitude":-122.36099999999999}
193505;AIR_193505;undefined;AIRPORT;{"continent":"CON_30005","country":"COU_20219","administrative_division":"ADM_14310","city":"CIT_1915"};Aeroporto Abbse, Abbse, Iêmen;higlight;{"latitude":14.4,"longitude":44.950000000000045}
192316;AIR_192316;undefined;AIRPORT;{"continent":"CON_30002","country":"COU_20135","administrative_division":"ADM_175736","city":"CIT_659"};Aeroporto Abbaye, Boghe, Mauritânia;higlight;{"latitude":16.590811,"longitude":-14.263289999999984}
191702;AIR_191702;undefined;AIRPORT;{"continent":"CON_30006","country":"COU_20069","administrative_division":"ADM_30599","city":"CIT_24"};Aeroporto RAF Station, Abingdon, Reino Unido;higlight;{"latitude":51.6701,"longitude":-1.285010000000057}
198034;CIT_198034;VQEJG;CITY;{"continent":"CON_30006","country":"COU_20150","administrative_division":"ADM_175957"};Abcoude, Provincie Utrecht, Holanda;higlight;{"latitude":52.2725,"longitude":4.96944}
191703;AIR_191703;undefined;AIRPORT;{"continent":"CON_30006","country":"COU_20061","administrative_division":"ADM_174607","city":"CIT_25"};Aeroporto Los Llanos, Albacete, Espanha;higlight;{"latitude":38.9485,"longitude":-1.863519999999994}
6692;CIT_6692;SFI;CITY;{"continent":"CON_30002","country":"COU_20123","administrative_division":"ADM_175486"};Safi, Doukkala-Abda, Marrocos;higlight;{"latitude":32.3,"longitude":-9.230000000000018}
211241;AIR_211241;undefined;AIRPORT;{"continent":"CON_30005","country":"COU_20142","administrative_division":"ADM_175861","city":"CIT_3849"};Sultan Abdul Aziz Shah , Kuala Lumpur, Malásia;higlight;{"latitude":3.139,"longitude":101.68700000000001}
194795;AIR_194795;undefined;AIRPORT;{"continent":"CON_30005","country":"COU_20174","administrative_division":"ADM_176405","city":"CIT_3318"};Aeroporto Internacional King Abdulaziz, Jeddah, Arábia Saudita;higlight;{"latitude":21.5435,"longitude":39.173}
195893;AIR_195893;undefined;AIRPORT;{"continent":"CON_30005","country":"COU_20174","administrative_division":"ADM_176412","city":"CIT_4455"};Aeroporto Mohammad Bin Abdulaziz, Medina, Arábia Saudita;higlight;{"latitude":24.46065404125043,"longitude":39.61963411865236}
193328;AIR_193328;undefined;AIRPORT;{"continent":"CON_30005","country":"COU_20174","administrative_division":"ADM_176409","city":"CIT_1730"};Aeroporto King Abdulaziz AB, Dhahran, Arábia Saudita;higlight;{"latitude":26.2654,"longitude":50.152000000000044}
